NYISOName,PTID,Zone,UnitType,FuelType,Latitude,Longitude,maxPower,minPower,maxRampAgc,maxRamp10,maxRamp30,maxRamp60,HeatRateLM_R2,HeatRateQM_R2,BusName,NCOST,cost_1,cost_0
Freeport CT 1,23764,K,Combustion Turbine,Natural Gas,40.6447,-73.5683,50,0,0.833333333,8.333333333,25,50,0,0,79,1,33.95988,0
Freeport CT 2,23818,K,Combustion Turbine,Natural Gas,40.6447,-73.5683,51,1,0.658333333,6.583333333,19.75,39.5,0.931245665,0.954711275,79,1,31.51261506,-68.62329421
Glenwood GT 02,23688,K,Combustion Turbine,Fuel Oil 2,40.8269,-73.6479,64,6.45,0.866666667,8.666666667,26,52,0.975660022,0.97431467,79,1,202.4984788,173.3272844
Glenwood GT 03,23689,K,Combustion Turbine,Fuel Oil 2,40.8269,-73.6479,64,7.2,0.775,7.75,23.25,46.5,0.980120664,0.980119773,79,1,208.6068612,130.828421
Glenwood GT 04,24219,K,Combustion Turbine,Natural Gas,40.8275,-73.6478,49,1,0.783333333,7.833333333,23.5,47,0.971495296,0.981784396,79,1,30.12614168,-53.75943041
Glenwood GT 05,24220,K,Combustion Turbine,Natural Gas,40.8275,-73.6478,50,2,0.775,7.75,23.25,46.5,0.97014918,0.977267927,79,1,31.53069749,-104.5147289
Gowanus 5,24156,J,Combustion Turbine,Natural Gas,40.663,-74,44,19,0.541666667,5.416666667,16.25,32.5,0.899022881,0.905089282,82,1,56.76211075,-1174.536407
Gowanus 6,24157,J,Combustion Turbine,Natural Gas,40.663,-74,43,6,0.6,6,18,36,0.895851905,0.961253432,82,1,42.02133354,-535.1088116
Greenidge 4,23583,C,Steam Turbine,Natural Gas,42.6789,-76.9483,113,36,1.033333333,10.33333333,31,62,0.904116112,0.908717676,65,1,28.94945149,70.63978419
Greenport GT1,23814,K,Jet Engine,Fuel Oil 2,41.1056,-72.3767,60,21,0.708333333,7.083333333,21.25,42.5,0.877749349,0.880777382,80,1,277.6324402,-6971.60249
Harlem River 1,24160,J,Combustion Turbine,Natural Gas,40.7989,-73.9147,43,18,0.541666667,5.416666667,16.25,32.5,0.886597244,0.912401218,82,1,58.45641023,-1222.30779
Harlem River 2,24161,J,Combustion Turbine,Natural Gas,40.7989,-73.9147,43,17.5,0.566666667,5.666666667,17,34,0.867786084,0.906415647,82,1,59.105156,-1319.080817
Hellgate 1,24158,J,Combustion Turbine,Natural Gas,40.7988,-73.9093,43,17,0.55,5.5,16.5,33,0.90701578,0.947821788,82,1,53.08984337,-1041.328345
Hellgate 2,24159,J,Combustion Turbine,Natural Gas,40.7988,-73.9093,43,16,0.558333333,5.583333333,16.75,33.5,0.88602713,0.929931219,82,1,57.29718101,-1127.573951
Hillburn GT,23639,G,Jet Engine,Natural Gas,41.1269,-74.1653,37,1,0.491666667,4.916666667,14.75,29.5,0.806390838,0.89707621,77,1,36.94104868,-8.68433861
Holtsville 01,23690,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,17,1,0.216666667,2.166666667,6.5,13,0.99393536,0.993820657,80,1,252.3464808,32.31677802
Holtsville 02,23691,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,17,1,0.216666667,2.166666667,6.5,13,0.993814301,0.993694385,80,1,252.2113706,34.01451933
Holtsville 03,23692,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.225,2.25,6.75,13.5,0.998735443,0.998825156,80,1,251.8936464,9.085249211
Holtsville 04,23693,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.225,2.25,6.75,13.5,0.998735443,0.998825156,80,1,251.8936464,9.085249211
Holtsville 05,23694,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,1,0.175,1.75,5.25,10.5,0.972452573,0.972168241,80,1,252.6861667,26.17737662
Holtsville 06,23695,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,1,0.175,1.75,5.25,10.5,0.972452573,0.972168241,80,1,252.6861667,26.17737662
Holtsville 07,23696,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,1,0.208333333,2.083333333,6.25,12.5,0.975829726,0.976064106,80,1,264.2184561,-16.3879317
Holtsville 08,23697,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,16,1,0.208333333,2.083333333,6.25,12.5,0.975317273,0.975553329,80,1,264.2629692,-16.90528486
Holtsville 09,23698,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.208333333,2.083333333,6.25,12.5,0.9764113,0.975979657,80,1,256.269553,-3.588613094
Holtsville 10,23699,K,Jet Engine,Fuel Oil 2,40.8153,-73.0664,15,1,0.208333333,2.083333333,6.25,12.5,0.9764113,0.975979657,80,1,256.269553,-3.588613094
Indeck-Corinth,23802,F,Combined Cycle,Natural Gas,43.25,-73.8125,140,123,1.091666667,10.91666667,32.75,65.5,0.658728667,0.683366719,42,1,13.15158998,1207.452863
Indeck-Olean,23982,A,Combined Cycle,Natural Gas,42.0875,-78.4578,84,18,0.858333333,8.583333333,25.75,51.5,0.890333874,0.893287833,61,1,19.50858738,277.0110398
Indeck-Oswego,23783,C,Combined Cycle,Natural Gas,43.4682,-76.4965,61,7,0.733333333,7.333333333,22,44,0.909777907,0.92396299,50,1,19.18560085,239.4945858
Indeck-Silver Springs,23768,C,Combined Cycle,Natural Gas,42.6544,-78.0772,60,6,0.65,6.5,19.5,39,0.904639638,0.911688783,65,1,19.94106241,244.003029
Indeck-Yerkes,23781,A,Combined Cycle,Natural Gas,42.9671,-78.9182,57,4,0.633333333,6.333333333,19,38,0.961511801,0.964613361,57,1,20.62084895,226.049659
Independence,23970,C,Combined Cycle,Natural Gas,43.495,-76.4508,1218,103,10.29166667,102.9166667,308.75,617.5,0.973590111,0.974242951,50,1,18.41542503,461.8953304
Jamestown 7,1659,A,Combustion Turbine,Natural Gas,42.0917,-79.2417,46,32,0.35,3.5,10.5,21,0.265147651,0.298310905,60,1,16.79107482,497.9310626
KIAC_JFK_GT1,23816,J,Combined Cycle,Natural Gas,40.6417,-73.7778,65,17,0.65,6.5,19.5,39,0.972907628,0.973062986,82,1,23.07327694,255.4817562
KIAC_JFK_GT2,23817,J,Combined Cycle,Natural Gas,40.6417,-73.7778,71,4,0.616666667,6.166666667,18.5,37,0.986293021,0.986301953,82,1,21.8628068,275.5766005
Kent,24152,J,Combustion Turbine,Natural Gas,40.7168,-73.9665,49,8,0.725,7.25,21.75,43.5,0.854081152,0.886643833,82,1,39.75902837,-511.0152377
Lockport,23791,A,Combined Cycle,Natural Gas,43.1622,-78.7453,153,28,1.275,12.75,38.25,76.5,0.931274483,0.931404611,56,1,35.41760077,-40.05534897
Massena,23902,D,Combined Cycle,Natural Gas,44.9503,-74.8928,55,0,0.916666667,9.166666667,27.5,55,0,0,48,1,21.06708,0
Nassau Energy Corporation,323695,K,Combined Cycle,Natural Gas,40.7259,-73.5885,53,35,0.308333333,3.083333333,9.25,18.5,0.943768817,0.944939602,79,1,21.81501793,470.0033805
Northport 1,23551,K,Steam Turbine,Natural Gas,40.9231,-73.3417,410,108,4.425,44.25,132.75,265.5,0.995060512,0.995057872,80,1,28.57936528,501.5673805
Northport 2,23552,K,Steam Turbine,Natural Gas,40.9231,-73.3417,410,111,2.575,25.75,77.25,154.5,0.993315183,0.993484254,80,1,29.89292959,588.4793189
Northport 3,23553,K,Steam Turbine,Natural Gas,40.9231,-73.3417,411,109,2.575,25.75,77.25,154.5,0.996592078,0.996635793,80,1,28.59681325,520.3208204
Northport 4,23650,K,Steam Turbine,Natural Gas,40.9231,-73.3417,413,109,3.75,37.5,112.5,225,0.990051783,0.990050132,80,1,28.59793172,614.8854757
Oswego 5,23606,C,Steam Turbine,Fuel Oil 6,43.46,-76.53,866,39.15,4.166666667,41.66666667,125,250,0.986416413,0.98780741,50,1,85.20700927,6538.869883
Oswego 6,23613,C,Steam Turbine,Fuel Oil 6,43.46,-76.53,862,25.45,4.025,40.25,120.75,241.5,0.997444336,0.997409501,50,1,85.7866976,5431.229053
Pilgrim GT1,24216,K,Combustion Turbine,Natural Gas,40.7861,-73.2931,47,13.7,0.575,5.75,17.25,34.5,0.82637873,0.831866669,80,1,60.80607247,-1345.833144
Pilgrim GT2,24217,K,Combustion Turbine,Natural Gas,40.7861,-73.2931,48,5.15,0.641666667,6.416666667,19.25,38.5,0.870964479,0.89478544,80,1,57.90366253,-1192.358551
Pinelawn Power 1,323563,K,Combined Cycle,Natural Gas,40.7358,-73.3881,81,14.5,0.675,6.75,20.25,40.5,0.904801903,0.914586163,79,1,27.00994519,-141.1718325
Port Jefferson 3,23555,K,Steam Turbine,Fuel Oil 6,40.9503,-73.0786,201,45,1.425,14.25,42.75,85.5,0.872331898,0.881297078,80,1,92.02280798,586.6040341
Port Jefferson 4,23616,K,Steam Turbine,Fuel Oil 6,40.9503,-73.0786,204,45,1.466666667,14.66666667,44,88,0.992131324,0.992166134,80,1,92.85654854,1412.079749
Port Jefferson GT 02,24210,K,Combustion Turbine,Natural Gas,40.9503,-73.0786,48,10,0.675,6.75,20.25,40.5,0.959672884,0.959614676,80,1,39.60239872,-414.0012023
